municipality,name,population
1101,Iquique,203439
1107,Alto Hospicio,145285
1401,Pozo Almonte,14936
1402,Camiña,1262
1403,Colchane,1671
1404,Huara,2991
1405,Pica,6645
2101,Antofagasta,406362
2102,Mejillones,12403
2103,Sierra Gorda,3359
2104,Taltal,13601
2201,Calama,189654
2202,Ollagüe,305
2203,San Pedro de Atacama,8476
2301,Tocopilla,28507
2302,María Elena,4371
3101,Copiapó,188189
3102,Caldera,18888
3103,Tierra Amarilla,18816
3201,Chañaral,13511
3202,Diego de Almagro,13785
3301,Vallenar,54046
3302,Alto del Carmen,6829
3303,Freirina,7306
3304,Huasco,11093
4101,La Serena,237433
4102,Coquimbo,257931
4103,Andacollo,11734
4104,La Higuera,4893
4105,Paiguano,4503
4106,Vicuña,27069
4201,Illapel,32964
4202,Canela,9864
4203,Los Vilos,20723
4204,Salamanca,27738
4301,Ovalle,127072
4302,Combarbalá,15649
4303,Monte Patria,34365
4304,Punitaqui,11058
4305,Río Hurtado,4957
5101,Valparaíso,295916
5102,Casablanca,31296
5103,Concón,55805
5104,Juan Fernández,896
5105,Puchuncaví,19572
5107,Quintero,29931
5109,Viña del Mar,330898
5201,Isla de Pascua,7582
5301,Los Andes,69609
5302,Calle Larga,15947
5303,Rinconada,12013
5304,San Esteban,19859
5401,La Ligua,33803
5402,Cabildo,20113
5403,Papudo,5417
5404,Petorca,10432
5405,Zapallar,6274
5501,Quillota,99063
5502,La Calera,56067
5503,Hijuelas,18400
5504,La Cruz,21790
5506,Nogales,24079
5601,San Antonio,98299
5602,Algarrobo,11032
5603,Cartagena,21036
5604,El Quisco,14479
5605,El Tabo,11346
5606,Santo Domingo,9906
5701,San Felipe,76103
5702,Catemu,14389
5703,Llaillay,25331
5704,Panquehue,7438
5705,Putaendo,16702
5706,Santa María,16489
5801,Quilpué,181831
5802,Limache,46870
5803,Olmué,16374
5804,Villa Alemana,155527
6101,Rancagua,235849
6102,Codegua,15143
6103,Coinco,7286
6104,Coltauco,20558
6105,Doñihue,21119
6106,Graneros,35941
6107,Las Cabras,24689
6108,Machalí,58209
6109,Malloa,13995
6110,Mostazal,27548
6111,Olivar,16281
6112,Peumo,16464
6113,Pichidegua,20583
6114,Quinta de Tilcoco,13596
6115,Rengo,63820
6116,Requínoa,41359
6117,San Vicente,48318
6201,Pichilemu,14787
6202,La Estrella,3370
6203,Litueche,6480
6204,Marchigüe,7667
6205,Navidad,6013
6206,Paredones,6148
6301,San Fernando,75329
6302,Chépica,16496
6303,Chimbarongo,38350
6304,Lolol,7100
6305,Nancagua,17171
6306,Palmilla,13713
6307,Peralillo,11967
6308,Placilla,9322
6309,Pumanque,3431
6310,Santa Cruz,38517
7101,Talca,239317
7102,Constitución,51412
7103,Curepto,10534
7104,Empedrado,4451
7105,Maule,71691
7106,Pelarco,7958
7107,Pencahue,8785
7108,Río Claro,13423
7109,San Clemente,42303
7110,San Rafael,10412
7201,Cauquenes,39223
7202,Chanco,8697
7203,Pelluhue,7896
7301,Curicó,150024
7302,Hualañé,10121
7303,Licantén,7188
7304,Molina,42767
7305,Rauco,10358
7306,Romeral,15663
7307,Sagrada Familia,19751
7308,Teno,28809
7309,Vichuquén,5066
7401,Linares,91372
7402,Colbún,19586
7403,Longaví,29165
7404,Parral,37839
7405,Retiro,19574
7406,San Javier,41156
7407,Villa Alegre,15119
7408,Yerbas Buenas,18542
8101,Concepción,228779
8102,Coronel,120729
8103,Chiguayante,104382
8104,Florida,8433
8105,Hualqui,27670
8106,Lota,46241
8107,Penco,52695
8108,San Pedro de la Paz,153562
8109,Santa Juana,13728
8110,Talcahuano,179670
8111,Tomé,55760
8112,Hualpén,114833
8201,Lebu,26791
8202,Arauco,38521
8203,Cañete,34214
8204,Contulmo,5365
8205,Curanilahue,35157
8206,Los Álamos,25230
8207,Tirúa,10528
8301,Los Ángeles,202214
8302,Antuco,3842
8303,Cabrero,30173
8304,Laja,24079
8305,Mulchén,30354
8306,Nacimiento,28699
8307,Negrete,10717
8308,Quilaco,4040
8309,Quilleco,9654
8310,San Rosendo,3843
